MEN1
FGFR3
KIF5B
SDC4
FOXA1
BCOR
EZH2
POT1
ETV4
PTPN11
MECT1
BRD4
NUP98
ERCC5
KCNJ5
PAX5
CIC
ERBB4
MAX
PMS2
SMO
CARD11
GNAQ
XPO1
THRAP3
WHSC1L1
TFG
MALAT1
CTNNB1
ERG
RPL5
MLLT10
NF1
P2RY8
CMKOR1
TTL
NTRK1
RUNDC2A
NFIB
ZNF331
PMX1
PLAG1
MAFB
ELKS
OMD
MALT1
ZNF9
HOXA11
ERBB3
HLF
CCDC6
NUP214
CCND2
SRGAP3
RARA
ATP2B3
SRSF2
ASPSCR1
BRAF
TMPRSS2
MYC
PAFAH1B2
CD79A
MAF
HIST1H4I
COX6C
EBF1
HLXB9
SBDS
EGFR
AF5q31
TBL1XR1
SOX2
SMARCE1
AF1Q
TSHR
RAD51L1
TNFRSF14
MET
KLK2
WIF1
PBRM1
TET2
HEY1
CDKN2A
MADH4
DDIT3
MLH1
CLTC
WWTR1
C15orf55
DICER1
BLM
PML
JAK1
KDM6A
FANCA
STAT5B
ASXL1
ELN
